county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty,Income,IncomePerCap,IncomePerCapErr
Gallatin,MT,23360.0,23879.0,52335.0,71363.0,31639.0,36964.0,3550.0,8.0,100733.0,52057.0,48676.0,3.3,92.3,0.3,0.9,1.3,0.0,13.0,59397.0,33181.0,870.0
Gallia,OH,9567.0,2564.0,12588.0,13358.0,10289.0,2911.0,334.0,13.0,30203.0,14814.0,15389.0,1.3,93.6,2.8,0.5,0.7,0.1,20.9,42002.0,22293.0,934.0
Galveston,TX,73566.0,45503.0,123994.0,153843.0,93306.0,58247.0,12703.0,169.0,321184.0,158564.0,162620.0,23.9,58.0,12.5,0.3,3.3,0.0,13.9,65702.0,33870.0,571.0
Garden,NE,869.0,153.0,1063.0,1195.0,1016.0,161.0,48.0,0.0,1913.0,960.0,953.0,3.9,94.2,0.2,0.2,0.9,0.0,11.7,48125.0,35602.0,8492.0
Garfield,CO,13071.0,11205.0,26328.0,30216.0,14404.0,15070.0,1239.0,5.0,57945.0,29334.0,28611.0,28.1,68.6,0.4,0.5,0.8,0.0,9.6,66503.0,31483.0,1233.0
Garfield,MT,653.0,34.0,716.0,813.0,764.0,41.0,30.0,0.0,1086.0,560.0,526.0,0.2,99.8,0.0,0.0,0.0,0.0,5.1,47188.0,29896.0,4059.0
Garfield,NE,819.0,121.0,968.0,1067.0,925.0,133.0,35.0,0.0,1958.0,970.0,988.0,2.1,96.6,0.2,0.0,0.3,0.0,7.2,46509.0,25856.0,2259.0
Garfield,OK,15998.0,4391.0,21692.0,22430.0,16970.0,4919.0,2543.0,28.0,62421.0,30927.0,31494.0,11.6,75.8,3.0,1.8,0.8,2.8,13.6,50724.0,25787.0,960.0
Garfield,UT,1577.0,352.0,2294.0,2722.0,2149.0,513.0,0.0,0.0,5020.0,2633.0,2387.0,5.6,89.5,0.0,2.7,0.2,0.5,13.1,51700.0,23228.0,2295.0
Garfield,WA,841.0,276.0,1232.0,1470.0,1062.0,362.0,26.0,0.0,2226.0,1118.0,1108.0,2.4,91.8,0.0,0.2,1.8,0.0,11.7,51399.0,24781.0,2306.0
Garland,AR,26053.0,12283.0,40734.0,44193.0,29065.0,14043.0,2645.0,70.0,97994.0,47269.0,50725.0,5.4,82.6,8.1,0.7,0.5,0.0,19.1,41672.0,25690.0,1175.0
Garrard,KY,5904.0,1453.0,7619.0,8703.0,6754.0,1830.0,370.0,4.0,17226.0,8442.0,8784.0,2.2,94.3,0.9,0.2,0.1,0.0,18.2,47906.0,24874.0,1705.0
Garrett,MD,10189.0,2252.0,12905.0,15045.0,11654.0,3098.0,150.0,1.0,29516.0,14618.0,14898.0,1.1,96.6,0.6,0.1,0.4,0.0,11.4,48174.0,26303.0,1162.0
Garvin,OK,8243.0,1852.0,10531.0,10922.0,8878.0,1865.0,774.0,6.0,27751.0,13765.0,13986.0,8.2,76.4,2.3,5.4,0.5,0.0,17.1,42567.0,22433.0,1043.0
Garza,TX,1223.0,224.0,1475.0,1651.0,1411.0,231.0,123.0,8.0,6739.0,4369.0,2370.0,54.0,40.5,4.5,0.1,0.6,0.0,13.5,53832.0,20635.0,4165.0
Gasconade,MO,5670.0,1519.0,7444.0,7934.0,6222.0,1601.0,289.0,24.0,14769.0,7371.0,7398.0,1.3,96.2,0.6,0.4,0.2,0.0,12.0,50687.0,25963.0,1757.0
Gaston,NC,61467.0,30982.0,94872.0,113791.0,72132.0,40231.0,7863.0,135.0,214049.0,103191.0,110858.0,6.6,73.6,15.5,0.4,1.5,0.0,16.5,46626.0,24937.0,686.0
