cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Unemployment
77.0,1.0,5942.0,2928.0,3014.0,4.1,93.7,0.8,0.2,0.7,0.0,3.7
1442.0,45.0,47316.0,22596.0,24720.0,7.6,65.8,25.6,0.0,0.1,0.0,9.0
6214.0,93.0,179316.0,88524.0,90792.0,11.3,67.4,18.1,0.2,1.2,0.1,6.3
1086.0,40.0,36598.0,18631.0,17967.0,3.7,80.0,12.7,0.6,0.4,0.0,7.4
99.0,1.0,5445.0,2701.0,2744.0,22.1,76.4,0.1,0.6,0.0,0.0,3.9
2343.0,140.0,168161.0,81606.0,86555.0,1.5,89.7,5.9,0.0,0.5,0.0,5.6
0.0,0.0,6414.0,3296.0,3118.0,10.9,88.7,0.0,0.1,0.2,0.0,4.7
284.0,1.0,9360.0,4694.0,4666.0,4.2,91.3,0.1,2.0,0.6,0.0,4.6
696.0,4.0,33552.0,16672.0,16880.0,1.9,86.6,0.5,7.4,0.6,0.0,3.6
949.0,11.0,22971.0,12263.0,10708.0,14.2,75.7,3.3,1.4,0.9,0.1,4.6
462.0,7.0,48891.0,24404.0,24487.0,1.1,96.9,0.4,0.1,0.2,0.0,5.9
1830.0,23.0,46854.0,23127.0,23727.0,11.8,77.8,6.6,0.1,0.4,0.1,5.6
1308.0,18.0,77319.0,38012.0,39307.0,2.0,88.2,7.0,0.1,1.3,0.0,4.4
1868.0,39.0,32729.0,19883.0,12846.0,58.2,32.2,8.2,0.5,0.5,0.0,6.3
825.0,17.0,27469.0,13385.0,14084.0,0.3,94.5,3.3,0.1,0.2,0.0,9.0
6560.0,100.0,336506.0,168147.0,168359.0,24.0,47.2,21.0,0.3,2.8,0.7,8.3
885.0,27.0,68889.0,35167.0,33722.0,0.9,93.0,4.1,0.2,0.4,0.0,6.8
1016.0,11.0,45847.0,22775.0,23072.0,2.2,72.5,0.9,20.4,0.8,0.1,8.7
887.0,34.0,17272.0,8259.0,9013.0,6.0,56.5,36.2,0.0,0.2,0.0,5.2
188.0,3.0,9050.0,4568.0,4482.0,3.4,84.7,0.2,8.1,1.0,0.2,9.6
220.0,5.0,3440.0,1567.0,1873.0,7.3,31.0,0.2,47.2,0.2,0.0,13.5
142.0,1.0,36054.0,17689.0,18365.0,1.8,94.7,0.8,0.1,0.4,0.0,4.4
557.0,10.0,6875.0,3520.0,3355.0,0.9,41.3,0.0,55.7,0.1,0.0,6.5
18.0,0.0,5806.0,3767.0,2039.0,32.0,60.8,6.1,0.5,0.4,0.0,9.3
8619.0,125.0,251823.0,124632.0,127191.0,16.3,74.2,1.6,1.4,3.7,0.5,3.1
733.0,4.0,25646.0,12786.0,12860.0,1.4,96.6,0.7,0.1,0.3,0.0,3.6
123.0,1.0,8685.0,4349.0,4336.0,5.1,92.8,0.9,0.0,0.2,0.0,4.2
1134.0,14.0,39360.0,19652.0,19708.0,2.2,91.5,2.8,0.3,1.1,0.0,4.2
504.0,7.0,18918.0,9308.0,9610.0,1.9,95.3,0.4,0.4,0.1,0.0,9.7
376.0,11.0,8306.0,4257.0,4049.0,2.5,60.2,36.6,0.0,0.0,0.0,13.7
465.0,6.0,88249.0,44598.0,43651.0,7.1,81.3,1.0,0.5,6.6,0.3,6.7
441.0,10.0,16154.0,7794.0,8360.0,2.2,93.2,3.4,0.3,0.0,0.0,9.1
5385.0,135.0,190529.0,95438.0,95091.0,20.8,71.6,1.4,0.6,2.5,0.1,6.0
145.0,2.0,17462.0,8694.0,8768.0,2.4,93.9,0.3,1.4,0.4,0.0,6.5
25526.0,2063.0,937920.0,454204.0,483716.0,18.9,57.8,5.3,0.1,16.2,0.0,5.2
6232.0,95.0,204632.0,101773.0,102859.0,6.3,64.0,23.9,0.4,2.3,0.1,6.4
1692.0,18.0,111610.0,54961.0,56649.0,4.0,84.6,7.2,0.1,1.1,0.1,8.3
9648.0,425.0,415500.0,204283.0,211217.0,19.6,73.2,4.1,0.1,1.4,0.0,7.3
11859.0,212.0,674855.0,330743.0,344112.0,49.5,39.5,2.5,4.0,2.3,0.1,6.7
