county,state,Men,Women
Crittenden,KY,4627.0,4527.0
Crockett,TN,6915.0,7639.0
Crockett,TX,1903.0,1933.0
Crook,OR,10627.0,11090.0
Crook,WY,3760.0,3587.0
Crosby,TX,2918.0,2977.0
Cross,AR,8323.0,8841.0
Crow Wing,MN,31769.0,31736.0
Crowley,CO,3752.0,1762.0
Culberson,TX,1162.0,1095.0
Cullman,AL,40223.0,41480.0
Culpeper,VA,25057.0,24738.0
Cumberland,IL,5453.0,5446.0
Cumberland,KY,3372.0,3372.0
Cumberland,ME,140510.0,148663.0
Cumberland,NC,165787.0,166979.0
Cumberland,NJ,79550.0,75402.0
Cumberland,PA,121449.0,124352.0
Cumberland,TN,28515.0,29663.0
Cumberland,VA,4830.0,4967.0
Cuming,NE,4557.0,4482.0
Currituck,NC,12522.0,12725.0
Curry,NM,26139.0,24144.0
Curry,OR,10898.0,11479.0
Custer,CO,2200.0,2305.0
Custer,ID,2164.0,1977.0
Custer,MT,5916.0,5979.0
Custer,NE,5357.0,5479.0
Custer,OK,14654.0,14515.0
Custer,SD,4275.0,4244.0
Cuyahoga,OH,599033.0,658368.0
Dade,GA,7956.0,8326.0
Dade,MO,3877.0,3704.0
Daggett,UT,425.0,277.0
Dakota,MN,204016.0,210639.0
Dakota,NE,10074.0,10455.0
Dale,AL,24524.0,24869.0
Dallam,TX,3880.0,3327.0
Dallas,AL,18809.0,21946.0
Dallas,AR,3639.0,3946.0
Dallas,IA,39934.0,40930.0
Dallas,MO,8117.0,8324.0
Dallas,TX,1257751.0,1294462.0
Dane,WI,259686.0,263151.0
Daniels,MT,926.0,862.0
Dare,NC,17441.0,17971.0
Darke,OH,25569.0,26350.0
Darlington,SC,31915.0,35657.0
Dauphin,PA,132330.0,140999.0
Davidson,NC,80121.0,83997.0
Davidson,TN,327080.0,351242.0
Davie,NC,20394.0,21372.0
Daviess,IN,16600.0,16177.0
Daviess,KY,48300.0,50958.0
Daviess,MO,4164.0,4136.0
Davis,IA,4360.0,4474.0
Davis,UT,168534.0,166443.0
Davison,SD,9895.0,9858.0
Dawes,NE,4495.0,4477.0
Dawson,GA,11529.0,11868.0
Dawson,MT,4869.0,4455.0
Dawson,NE,12235.0,11690.0
Dawson,TX,7274.0,5821.0
Day,SD,2834.0,2690.0
De Baca,NM,926.0,1090.0
De Soto,LA,13154.0,14010.0
De Witt,IL,8085.0,8091.0
DeKalb,AL,35328.0,35866.0
DeKalb,GA,348949.0,387117.0
DeKalb,IL,51739.0,52734.0
DeKalb,IN,21161.0,21363.0
DeKalb,MO,8007.0,4557.0
DeKalb,TN,9705.0,9675.0
DeSoto,FL,20184.0,15491.0
DeSoto,MS,83838.0,89429.0
DeWitt,TX,10697.0,9777.0
Deaf Smith,TX,9499.0,9448.0
Dearborn,IN,24774.0,24790.0
Decatur,GA,13037.0,13986.0
Decatur,IA,4074.0,4031.0
Decatur,IN,13112.0,13368.0
Decatur,KS,1444.0,1447.0
Decatur,TN,5744.0,5937.0
Deer Lodge,MT,4778.0,4353.0
Defiance,OH,18969.0,19342.0
Del Norte,CA,15008.0,12434.0
Delaware,IA,8659.0,8667.0
Delaware,IN,55903.0,60035.0
Delaware,NY,23118.0,22832.0
Delaware,OH,95515.0,97509.0
Delaware,OK,20687.0,21191.0
Delaware,PA,270775.0,292609.0
Delta,CO,15221.0,14996.0
Delta,MI,18084.0,18311.0
Delta,TX,2552.0,2620.0
Dent,MO,7774.0,7792.0
Denton,TX,384390.0,396931.0
Denver,CO,339400.0,339067.0
Des Moines,IA,19534.0,20342.0
Deschutes,OR,86629.0,88692.0
Desha,AR,5547.0,6547.0
Deuel,NE,915.0,986.0
Deuel,SD,2246.0,2036.0
Dewey,OK,2464.0,2440.0
Dewey,SD,2823.0,2886.0
Dickens,TX,1186.0,1038.0
Dickenson,VA,7720.0,7461.0
Dickey,ND,2513.0,2528.0
Dickinson,IA,8547.0,8453.0
Dickinson,KS,9572.0,9590.0
Dickinson,MI,12819.0,12875.0
Dickson,TN,25100.0,26241.0
Dillon,SC,14568.0,16505.0
Dimmit,TX,5284.0,5538.0
Dinwiddie,VA,13849.0,14184.0
District of Columbia,DC,319046.0,353345.0
Divide,ND,1217.0,1161.0
Dixie,FL,9048.0,7275.0
Dixon,NE,2905.0,2860.0
Doddridge,WV,4641.0,3929.0
Dodge,GA,11024.0,10039.0
Dodge,MN,10301.0,10184.0
Dodge,NE,17980.0,18596.0
Dodge,WI,46032.0,41801.0
Dolores,CO,946.0,790.0
