county,state,cases,deaths,TotalPop
Cook,MN,24.0,0.0,5270.0
Cooke,TX,570.0,9.0,39064.0
Cooper,MO,678.0,4.0,17620.0
Coos,OR,271.0,1.0,62921.0
Coosa,AL,223.0,3.0,10955.0
Copiah,MS,1412.0,38.0,28748.0
Corson,SD,238.0,2.0,4177.0
Cortland,NY,589.0,0.0,48334.0
Coryell,TX,2019.0,14.0,75818.0
Coshocton,OH,417.0,12.0,36602.0
Costilla,CO,42.0,1.0,3628.0
Cottle,TX,40.0,3.0,1498.0
Cotton,OK,110.0,3.0,6000.0
Cottonwood,MN,318.0,0.0,11437.0
Covington,AL,1892.0,30.0,37519.0
Covington,MS,1009.0,29.0,19172.0
Coweta,GA,3018.0,63.0,138015.0
Cowley,KS,552.0,10.0,35732.0
Cowlitz,WA,832.0,7.0,103590.0
Craig,OK,649.0,2.0,14563.0
Craig,VA,61.0,0.0,5131.0
Craighead,AR,4938.0,48.0,104246.0
Crane,TX,77.0,4.0,4836.0
Craven,NC,2441.0,62.0,103374.0
Crawford,AR,2189.0,30.0,62119.0
Crawford,GA,196.0,6.0,12385.0
Crawford,IA,1415.0,15.0,17131.0
Crawford,IL,684.0,6.0,19214.0
Crawford,IN,177.0,1.0,10598.0
Crawford,KS,1449.0,12.0,39099.0
Crawford,MI,157.0,5.0,13821.0
Crawford,MO,695.0,9.0,24387.0
Crawford,OH,609.0,8.0,42231.0
Crawford,PA,585.0,3.0,86847.0
Crawford,WI,389.0,1.0,16313.0
Creek,OK,1651.0,39.0,70899.0
Crenshaw,AL,621.0,30.0,13866.0
Crisp,GA,664.0,23.0,23005.0
Crittenden,AR,2532.0,53.0,49278.0
