county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Amite,MS,0.609,0.382,7033.0,4282.0,2688.0,0.633,0.354,5974.0,3781.0,2114.0,436.0,13.0,12574.0,6133.0,6441.0,0.2,57.3,42.0,0.0,0.3,0.0,30129.0,19665.0,22.8,10.8
Anderson,KS,0.728,0.203,3277.0,2386.0,665.0,0.773,0.20600000000000002,3720.0,2874.0,765.0,203.0,0.0,7840.0,3849.0,3991.0,0.7,95.2,0.2,3.5,0.0,0.0,40986.0,21887.0,13.6,4.2
Anderson,KY,0.722,0.231,11420.0,8242.0,2634.0,0.728,0.252,13261.0,9651.0,3339.0,280.0,1.0,22017.0,10639.0,11378.0,1.7,94.2,2.4,0.0,0.7,0.0,51681.0,24991.0,12.0,6.3
Anderson,SC,0.6990000000000001,0.262,80296.0,56109.0,21040.0,0.703,0.28300000000000003,96093.0,67565.0,27169.0,6051.0,209.0,194174.0,93474.0,100700.0,3.5,77.6,16.0,0.2,0.9,0.0,45551.0,24485.0,15.6,6.7
Anderson,TN,0.6459999999999999,0.303,29723.0,19201.0,9010.0,0.652,0.33,35527.0,23163.0,11733.0,1869.0,16.0,75538.0,36803.0,38735.0,2.7,89.6,3.4,0.1,1.4,0.1,47206.0,26972.0,16.3,6.9
Anderson,TX,0.78,0.19899999999999998,16887.0,13165.0,3358.0,0.7859999999999999,0.205,19155.0,15062.0,3934.0,2979.0,39.0,57747.0,35292.0,22455.0,17.3,59.7,20.9,0.3,0.5,0.0,42313.0,17466.0,15.7,4.3
Andrew,MO,0.7290000000000001,0.22399999999999998,9140.0,6665.0,2045.0,0.742,0.24100000000000002,9775.0,7256.0,2351.0,474.0,8.0,17358.0,8622.0,8736.0,2.3,94.9,1.3,0.1,0.1,0.0,56658.0,28003.0,9.0,4.2
Andrews,TX,0.797,0.17,4926.0,3925.0,836.0,0.843,0.145,5856.0,4937.0,849.0,667.0,10.0,17577.0,8980.0,8597.0,55.4,41.1,1.5,0.1,0.2,0.1,70753.0,29903.0,11.9,4.5
Angelina,TX,0.725,0.252,29870.0,21666.0,7538.0,0.7240000000000001,0.264,34628.0,25070.0,9136.0,2317.0,93.0,87700.0,42707.0,44993.0,21.5,61.2,14.7,0.1,1.1,0.0,46472.0,21974.0,19.1,7.6
Anne Arundel,MD,0.47100000000000003,0.478,242939.0,114509.0,116074.0,0.42,0.5589999999999999,293582.0,123337.0,164255.0,12256.0,281.0,564600.0,279581.0,285019.0,7.3,69.6,15.9,0.1,3.6,0.1,94502.0,43258.0,6.1,5.2
Anoka,MN,0.507,0.41,184084.0,93341.0,75499.0,0.498,0.479,210491.0,104903.0,100892.0,9947.0,159.0,344861.0,172482.0,172379.0,4.2,82.7,5.5,0.5,4.2,0.0,76796.0,34321.0,6.6,4.2
Anson,NC,0.431,0.557,10394.0,4480.0,5785.0,0.47600000000000003,0.518,11183.0,5321.0,5788.0,737.0,11.0,25531.0,13361.0,12170.0,3.8,44.9,48.6,0.3,1.2,0.0,38123.0,19105.0,22.7,13.4
Antelope,NE,0.8440000000000001,0.11800000000000001,3220.0,2717.0,381.0,0.863,0.126,3583.0,3093.0,452.0,182.0,1.0,6406.0,3213.0,3193.0,3.2,95.3,0.2,0.3,0.4,0.0,46949.0,28091.0,11.5,1.9
Antrim,MI,0.624,0.32799999999999996,13572.0,8469.0,4448.0,0.564,0.42,17347.0,9783.0,7289.0,143.0,0.0,23133.0,11479.0,11654.0,2.1,95.0,0.3,0.8,0.3,0.0,50988.0,29307.0,12.6,6.1
Apache,AZ,0.285,0.654,18659.0,5315.0,12196.0,0.327,0.6609999999999999,34397.0,11240.0,22730.0,4003.0,171.0,71602.0,35355.0,36247.0,6.1,18.5,0.5,72.8,0.3,0.1,32360.0,13865.0,35.9,14.1
Appanoose,IA,0.6609999999999999,0.297,6096.0,4031.0,1813.0,0.6940000000000001,0.29100000000000004,6506.0,4512.0,1891.0,287.0,3.0,12547.0,6206.0,6341.0,1.8,95.7,0.6,0.1,0.5,0.0,40377.0,25543.0,17.1,6.3
Appling,GA,0.784,0.205,7003.0,5492.0,1434.0,0.782,0.213,8341.0,6526.0,1779.0,1179.0,38.0,18471.0,9090.0,9381.0,9.7,69.6,17.9,0.6,0.8,0.0,37089.0,19936.0,24.7,7.7
Appomattox,VA,0.718,0.254,7954.0,5714.0,2023.0,0.725,0.262,9239.0,6702.0,2418.0,308.0,6.0,15462.0,7507.0,7955.0,1.3,76.7,20.1,0.1,0.2,0.0,54875.0,26347.0,14.4,3.5
