county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16
Chickasaw,MS,4127.0,3649.0,7890.0
Chicot,AR,1716.0,2350.0,4176.0
Childress,TX,1802.0,253.0,2084.0
Chilton,AL,15068.0,2909.0,18255.0
Chippewa,MI,9120.0,5378.0,15434.0
Chippewa,MN,3764.0,1978.0,6182.0
Chippewa,WI,17912.0,11875.0,31471.0
Chisago,MN,18441.0,9279.0,30009.0
Chittenden,VT,18298.0,54463.0,77263.0
Choctaw,AL,4102.0,3109.0,7268.0
Choctaw,MS,2763.0,1198.0,4020.0
Choctaw,OK,4202.0,1064.0,5419.0
Chouteau,MT,1676.0,729.0,2581.0
Chowan,NC,3983.0,2965.0,7108.0
Christian,IL,10522.0,3982.0,15310.0
Christian,KY,14108.0,7188.0,22083.0
Christian,MO,30941.0,8505.0,41394.0
Churchill,NV,7828.0,2210.0,10936.0
Cibola,NM,3179.0,3721.0,8017.0
Cimarron,OK,962.0,70.0,1077.0
Citrus,FL,54377.0,22765.0,79590.0
Clackamas,OR,79062.0,90187.0,182136.0
Claiborne,MS,414.0,2523.0,2954.0
Claiborne,TN,8589.0,1831.0,10706.0
Claiborne,LA,3585.0,2717.0,6421.0
Clallam,WA,13741.0,13733.0,29202.0
Clare,MI,8507.0,4250.0,13385.0
Clarendon,SC,7246.0,7635.0,15156.0
Clarion,PA,12545.0,4256.0,17481.0
Clark,AR,4398.0,3606.0,8505.0
Clark,ID,203.0,44.0,283.0
Clark,IL,5620.0,1873.0,7819.0
Clark,IN,30012.0,18791.0,51104.0
Clark,KS,813.0,118.0,983.0
Clark,KY,10710.0,4706.0,16202.0
Clark,MO,2458.0,724.0,3316.0
Clark,NV,319571.0,401068.0,765421.0
Clark,OH,34311.0,22666.0,59620.0
Clark,SD,1139.0,398.0,1657.0
Clark,WA,88266.0,88507.0,190653.0
Clark,WI,8645.0,4225.0,13548.0
Clarke,AL,7109.0,5712.0,12936.0
Clarke,GA,12691.0,29514.0,44221.0
Clarke,IA,2706.0,1463.0,4405.0
Clarke,MS,5088.0,2556.0,7713.0
Clarke,VA,4657.0,3047.0,8131.0
Clatsop,OR,7794.0,8899.0,18158.0
Clay,AL,5230.0,1234.0,6572.0
Clay,AR,3779.0,1999.0,5998.0
Clay,FL,74898.0,27768.0,106363.0
Clay,GA,566.0,697.0,1271.0
Clay,IA,5870.0,2246.0,8542.0
Clay,IL,5009.0,1014.0,6278.0
Clay,IN,8528.0,2306.0,11259.0
Clay,KS,2831.0,665.0,3727.0
Clay,KY,5861.0,752.0,6765.0
Clay,MN,13549.0,12974.0,29108.0
Clay,MO,57328.0,45182.0,109237.0
Clay,MS,4136.0,5695.0,9960.0
Clay,NC,4395.0,1352.0,5885.0
Clay,NE,2373.0,470.0,2973.0
Clay,SD,2109.0,2608.0,5069.0
Clay,TN,2140.0,707.0,2919.0
Clay,TX,4376.0,536.0,5011.0
Clay,WV,2289.0,566.0,2958.0
Clayton,GA,11740.0,75908.0,89236.0
Clayton,IA,5309.0,3236.0,9098.0
