county,state,Poverty,Income,IncomePerCap,Unemployment
Bell,TX,14.3,52583.0,25017.0,8.3
Belmont,OH,14.1,46484.0,25326.0,6.8
Beltrami,MN,19.0,45923.0,23748.0,8.7
Ben Hill,GA,30.4,32344.0,16635.0,5.2
Benewah,ID,15.8,43472.0,23120.0,9.6
Bennett,SD,38.1,45725.0,15287.0,13.5
Bennington,VT,12.8,52251.0,31313.0,4.4
Benson,ND,33.3,44500.0,21658.0,6.5
Bent,CO,24.5,32500.0,14028.0,9.3
Benton,AR,10.5,61271.0,30611.0,3.1
Benton,IA,8.7,64061.0,32356.0,3.6
Benton,IN,14.9,49183.0,23652.0,4.2
Benton,MN,14.1,53574.0,27018.0,4.2
Benton,MO,18.6,35097.0,20163.0,9.7
Benton,MS,20.2,40605.0,18599.0,13.7
Benton,OR,20.7,54682.0,30873.0,6.7
Benton,TN,22.3,33702.0,21282.0,9.1
Benton,WA,13.4,63001.0,30511.0,6.0
Benzie,MI,10.0,53185.0,26790.0,6.5
Bergen,NJ,7.2,91572.0,46601.0,5.2
Berkeley,SC,12.8,56697.0,27010.0,6.4
Berkeley,WV,13.0,59480.0,27658.0,8.3
Berks,PA,13.6,59580.0,29041.0,7.3
Bernalillo,NM,18.0,50386.0,28340.0,6.7
Berrien,GA,23.7,38297.0,18064.0,9.4
Berrien,MI,17.2,47132.0,27505.0,7.3
Bertie,NC,22.0,31287.0,18319.0,12.7
Bexar,TX,16.4,53999.0,26158.0,6.1
Bibb,AL,15.2,43404.0,20911.0,8.2
Bibb,GA,26.7,38183.0,23426.0,10.4
Bienville,LA,25.3,34077.0,22701.0,7.4
Big Horn,MT,26.8,47276.0,17905.0,15.9
Big Horn,WY,13.0,51716.0,23724.0,4.7
Big Stone,MN,11.7,48299.0,29035.0,2.8
Billings,ND,10.3,91518.0,44683.0,3.9
Bingham,ID,13.1,51307.0,20720.0,5.2
Black Hawk,IA,15.9,50916.0,27669.0,5.3
Blackford,IN,12.8,40622.0,22328.0,6.8
Bladen,NC,24.5,32396.0,20839.0,7.9
Blaine,ID,14.8,58835.0,32736.0,3.7
Blaine,MT,32.7,35506.0,17059.0,16.8
Blaine,NE,9.8,52000.0,28503.0,1.1
