county,state,TotalPop,Hispanic,White,Black,Native,Asian,Pacific
Bradley,AR,10994.0,14.8,55.9,29.1,0.0,0.0,0.0
Bradley,TN,103666.0,5.8,86.5,4.9,0.1,1.1,0.0
Branch,MI,43543.0,4.5,90.9,2.3,0.3,0.5,0.0
Brantley,GA,18411.0,2.1,92.6,3.1,0.1,0.7,0.1
Braxton,WV,14345.0,1.0,97.1,0.3,0.1,0.0,0.2
Brazoria,TX,345995.0,29.7,49.1,12.9,0.3,6.2,0.0
Brazos,TX,214231.0,25.1,56.7,10.2,0.1,6.0,0.0
Breathitt,KY,13276.0,0.9,97.0,1.0,0.2,0.2,0.0
Breckinridge,KY,19991.0,1.3,94.7,1.7,0.1,0.4,0.0
Bremer,IA,24741.0,1.4,95.3,0.9,0.2,1.1,0.0
Brevard,FL,568183.0,9.7,75.3,9.8,0.3,2.4,0.1
Brewster,TX,9220.0,44.2,51.7,0.1,1.7,1.1,0.0
Briscoe,TX,1591.0,32.2,60.6,1.7,0.0,0.0,1.0
Bristol,RI,49028.0,2.7,92.7,1.3,0.0,2.0,0.0
Broadwater,MT,5755.0,2.6,94.4,0.1,1.5,0.0,0.0
Bronx,NY,1455846.0,55.7,9.5,29.4,0.2,3.6,0.0
Brooke,WV,23067.0,0.9,95.8,1.7,0.0,0.4,0.2
Brookings,SD,33697.0,2.6,91.0,1.4,1.1,2.9,0.0
Brooks,GA,15629.0,5.6,56.8,33.6,0.0,0.8,0.0
Brooks,TX,7251.0,94.1,5.8,0.1,0.0,0.0,0.0
Broome,NY,196124.0,4.0,84.0,5.1,0.2,4.2,0.0
Broomfield,CO,64283.0,12.1,77.6,1.0,0.3,6.4,0.0
Broward,FL,1890416.0,28.4,38.2,27.4,0.2,3.5,0.0
Brown,IL,6791.0,3.6,73.6,21.3,0.0,0.6,0.0
Brown,IN,15007.0,1.6,95.9,0.5,0.0,0.7,0.0
Brown,KS,9736.0,4.2,83.4,0.9,7.7,0.6,0.1
Brown,MN,25243.0,4.1,93.9,0.3,0.1,0.7,0.1
Brown,NE,3058.0,1.2,96.5,0.0,0.2,0.4,0.0
Brown,OH,43799.0,0.9,96.6,0.8,0.1,0.3,0.0
Brown,SD,38637.0,2.5,88.6,1.6,3.4,2.6,0.0
Brown,TX,37787.0,21.5,72.7,3.6,0.2,0.6,0.0
Brown,WI,258004.0,8.3,81.6,2.2,2.2,3.1,0.0
Brule,SD,5280.0,2.5,84.8,0.0,9.8,0.3,0.0
Brunswick,NC,122586.0,4.7,81.6,10.5,0.3,0.6,0.1
Brunswick,VA,16435.0,2.1,41.1,54.1,0.2,0.5,0.0
Bryan,GA,34883.0,6.6,74.3,14.6,0.5,1.5,0.0
Bryan,OK,45068.0,5.6,71.9,1.8,15.1,0.5,0.1
Buchanan,IA,21101.0,1.5,96.4,0.3,0.3,0.6,0.0
Buchanan,MO,89425.0,6.4,83.8,5.4,0.2,1.0,0.2
Buchanan,VA,22611.0,0.3,95.4,2.8,0.5,0.5,0.0
Buckingham,VA,17048.0,2.4,61.1,34.3,0.3,0.3,0.1
Bucks,PA,626486.0,5.0,84.8,3.8,0.2,4.5,0.0
Buena Vista,IA,20369.0,25.0,61.4,2.6,0.0,8.9,1.3
Buffalo,NE,48834.0,8.7,87.4,1.1,0.1,1.3,0.0
Buffalo,SD,2048.0,2.4,11.8,0.4,81.3,0.0,2.0
Buffalo,WI,13243.0,2.2,95.9,0.5,0.3,0.0,0.0
Bullitt,KY,78622.0,1.8,94.9,0.6,0.2,0.6,0.1
Bulloch,GA,73742.0,3.7,64.0,28.5,0.2,1.5,0.0
Bullock,AL,10478.0,0.3,21.6,75.6,1.0,0.7,0.0
Buncombe,NC,252268.0,6.4,83.7,6.1,0.4,1.2,0.1
Bureau,IL,33619.0,8.8,88.4,0.8,0.1,0.8,0.0
Burke,GA,22645.0,3.1,47.0,49.1,0.0,0.3,0.0
Burke,NC,88898.0,5.9,82.3,5.9,0.5,3.6,0.1
Burke,ND,2253.0,1.6,93.4,0.4,2.8,0.0,0.0
Burleigh,ND,92372.0,2.2,89.9,1.7,3.7,0.7,0.0
Burleson,TX,17596.0,20.1,65.7,12.3,0.2,0.3,0.0
Burlington,NJ,449192.0,7.6,68.3,15.7,0.0,4.8,0.0
Burnet,TX,45017.0,21.9,74.1,1.5,0.6,0.7,0.0
Burnett,WI,15239.0,1.7,90.6,0.5,4.1,0.3,0.0
Burt,NE,6546.0,2.7,93.6,0.6,1.8,0.4,0.0
Butler,AL,20126.0,0.3,52.2,44.7,0.1,1.1,0.0
Butler,IA,14822.0,1.3,96.8,0.2,0.3,0.4,0.1
Butler,KS,66260.0,4.6,89.5,2.1,0.8,1.1,0.0
Butler,KY,12735.0,3.1,95.1,0.4,0.2,0.1,0.0
Butler,MO,42826.0,2.0,89.0,5.4,0.5,0.7,0.0
Butler,NE,8105.0,3.0,95.0,0.5,0.2,0.4,0.0
Butler,OH,375702.0,4.5,82.2,7.8,0.1,2.9,0.1
Butler,PA,185984.0,1.4,95.0,0.9,0.1,1.1,0.0
Butte,CA,225207.0,15.7,72.9,1.5,0.7,4.4,0.2
Butte,ID,2613.0,2.5,94.6,2.5,0.0,0.0,0.0
Butte,SD,10194.0,3.5,91.8,0.6,1.8,0.0,0.0
Butts,GA,23556.0,3.1,66.6,28.2,0.1,0.6,0.0
