county,state,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden
Charles Mix,SD,3783.0,2552.0,1177.0
Charleston,SC,218857.0,93297.0,121485.0
Charlevoix,MI,17000.0,9841.0,6939.0
Charlotte,FL,116481.0,73202.0,42240.0
Charlotte,VA,6180.0,3815.0,2317.0
Charlton,GA,4566.0,3419.0,1103.0
Chase,KS,1478.0,1114.0,341.0
Chase,NE,1993.0,1740.0,226.0
Chatham,GA,133589.0,53288.0,78369.0
Chatham,NC,48308.0,21055.0,26642.0
Chattahoochee,GA,1590.0,880.0,667.0
Chattooga,GA,10050.0,8064.0,1854.0
Chautauqua,KS,1634.0,1397.0,212.0
Chautauqua,NY,48428.0,31247.0,16200.0
Chaves,NM,22443.0,15656.0,6381.0
Cheatham,TN,20091.0,14328.0,5457.0
Cheboygan,MI,15849.0,10171.0,5435.0
Chelan,WA,42387.0,22476.0,19005.0
Chemung,NY,31646.0,19388.0,11573.0
Chenango,NY,17241.0,11736.0,5126.0
Cherokee,AL,12275.0,10562.0,1619.0
Cherokee,GA,144830.0,99587.0,42794.0
Cherokee,IA,6503.0,4495.0,1936.0
Cherokee,KS,8945.0,6622.0,2163.0
Cherokee,NC,16341.0,12568.0,3563.0
Cherokee,OK,17714.0,11223.0,6027.0
Cherokee,SC,25270.0,18043.0,6983.0
Cherokee,TX,19457.0,15065.0,4196.0
Cherry,NE,3265.0,2844.0,373.0
Chester,PA,310650.0,126844.0,179065.0
Chester,SC,15757.0,8660.0,6941.0
Chester,TN,7578.0,5951.0,1411.0
Chesterfield,SC,18876.0,11297.0,7431.0
Chesterfield,VA,203188.0,93326.0,106935.0
Cheyenne,CO,1105.0,966.0,127.0
Cheyenne,KS,1400.0,1158.0,220.0
Cheyenne,NE,4765.0,3813.0,855.0
Chickasaw,IA,6617.0,4308.0,2233.0
Chickasaw,MS,8143.0,4173.0,3808.0
Chicot,AR,4093.0,1750.0,2252.0
Childress,TX,2259.0,1928.0,305.0
Chilton,AL,19260.0,16052.0,3056.0
Chippewa,MI,17675.0,10682.0,6651.0
Chippewa,MN,6611.0,4250.0,2226.0
Chippewa,WI,35945.0,21316.0,14001.0
Chisago,MN,34493.0,21915.0,11803.0
Chittenden,VT,853.0,343.0,473.0
Choctaw,AL,7461.0,4294.0,3126.0
Choctaw,MS,4175.0,2971.0,1170.0
Choctaw,OK,5832.0,4698.0,1082.0
Chouteau,MT,2967.0,1888.0,988.0
Chowan,NC,7754.0,4458.0,3232.0
Christian,IL,16094.0,11505.0,4286.0
Christian,KY,23863.0,15080.0,8296.0
Christian,MO,46904.0,34904.0,11126.0
Churchill,NV,12503.0,9088.0,2966.0
Cibola,NM,8903.0,3975.0,4745.0
Cimarron,OK,1054.0,970.0,70.0
Citrus,FL,93380.0,65348.0,27088.0
Clackamas,OR,253206.0,108407.0,136782.0
Claiborne,MS,2886.0,479.0,2337.0
Claiborne,TN,12935.0,10598.0,2201.0
Claiborne,LA,6580.0,3770.0,2731.0
Clallam,WA,48267.0,22732.0,24335.0
Clare,MI,16280.0,10860.0,5200.0
Clarendon,SC,16733.0,8361.0,8250.0
Clarion,PA,19213.0,14363.0,4615.0
Clark,AR,8358.0,4605.0,3413.0
Clark,ID,311.0,264.0,41.0
Clark,IL,8340.0,6215.0,1990.0
Clark,IN,58040.0,33656.0,23088.0
Clark,KS,1048.0,885.0,143.0
Clark,KY,18128.0,11811.0,6004.0
Clark,MO,3394.0,2672.0,678.0
Clark,NV,914373.0,402271.0,493740.0
Clark,OH,62870.0,38217.0,23625.0
Clark,SD,1850.0,1373.0,437.0
Clark,WA,272477.0,125833.0,139863.0
Clark,WI,14898.0,10002.0,4524.0
Clarke,AL,13102.0,7310.0,5730.0
Clarke,GA,51218.0,14412.0,35969.0
Clarke,IA,4666.0,3140.0,1466.0
Clarke,MS,8277.0,5372.0,2815.0
Clarke,VA,9290.0,5192.0,3920.0
Clatsop,OR,23519.0,10001.0,12740.0
Clay,AL,6913.0,5589.0,1262.0
Clay,AR,5178.0,4084.0,959.0
Clay,FL,124622.0,84470.0,38294.0
Clay,GA,1434.0,637.0,790.0
Clay,IA,8948.0,6137.0,2662.0
Clay,IL,6896.0,5626.0,1129.0
Clay,IN,12277.0,9498.0,2549.0
Clay,KS,4134.0,3129.0,883.0
Clay,KY,7590.0,6677.0,831.0
Clay,MN,32215.0,15031.0,16345.0
Clay,MO,126618.0,64583.0,59519.0
Clay,MS,10054.0,4147.0,5728.0
Clay,NC,6828.0,5074.0,1685.0
Clay,NE,3558.0,2848.0,632.0
Clay,SD,5698.0,2456.0,3083.0
Clay,TN,3506.0,2733.0,735.0
Clay,TX,5736.0,5064.0,614.0
Clay,WV,3365.0,2679.0,641.0
Clayton,GA,112344.0,15813.0,95476.0
Clayton,IA,9581.0,6106.0,3340.0
Clear Creek,CO,6290.0,2618.0,3495.0
Clearfield,PA,39124.0,28984.0,9598.0
Clearwater,ID,4419.0,3453.0,877.0
Clearwater,MN,4705.0,3371.0,1258.0
Cleburne,AL,7210.0,6472.0,672.0
Cleburne,AR,12617.0,10292.0,1962.0
Clermont,OH,108315.0,73077.0,33505.0
Cleveland,AR,3588.0,2857.0,649.0
Cleveland,NC,51095.0,33664.0,16879.0
Cleveland,OK,119778.0,66677.0,49827.0
Clinch,GA,2864.0,2105.0,747.0
Clinton,IA,24669.0,13349.0,10806.0
Clinton,IL,19139.0,14264.0,4459.0
Clinton,IN,12961.0,9334.0,3361.0
Clinton,KY,4932.0,4280.0,603.0
Clinton,MI,47902.0,25095.0,21963.0
Clinton,MO,10894.0,7789.0,2894.0
Clinton,NY,27471.0,14354.0,12690.0
Clinton,OH,19940.0,15061.0,4556.0
Clinton,PA,17608.0,11889.0,5498.0
Cloud,KS,4174.0,3182.0,893.0
Coahoma,MS,7136.0,1846.0,5189.0
Coal,OK,2524.0,2091.0,374.0
Cobb,GA,393744.0,165459.0,221844.0
Cochise,AZ,57672.0,33580.0,22997.0
Cochran,TX,996.0,806.0,176.0
Cocke,TN,14870.0,12182.0,2524.0
Coconino,AZ,73174.0,27043.0,44609.0
Codington,SD,13161.0,8958.0,3837.0
Coffee,AL,22180.0,16832.0,5050.0
Coffee,GA,15214.0,10578.0,4511.0
Coffee,TN,24313.0,17863.0,5704.0
Coffey,KS,4448.0,3407.0,928.0
Coke,TX,1794.0,1565.0,215.0
Colbert,AL,24668.0,17311.0,7057.0
Cole,MO,39486.0,26066.0,12687.0
Coleman,TX,4128.0,3640.0,451.0
Coles,IL,22470.0,13981.0,7997.0
Colfax,NE,3726.0,2636.0,1025.0
Colfax,NM,6016.0,3271.0,2611.0
Colleton,SC,19283.0,10440.0,8602.0
Collier,FL,207758.0,128936.0,77595.0
Collin,TX,486917.0,250194.0,227868.0
Collingsworth,TX,1218.0,1048.0,155.0
Colorado,TX,9912.0,7440.0,2403.0
Colquitt,GA,16083.0,11777.0,4187.0
Columbia,AR,8550.0,5469.0,2781.0
Columbia,FL,33039.0,23835.0,8912.0
Columbia,GA,80579.0,50013.0,29236.0
Columbia,NY,27537.0,12883.0,14148.0
Columbia,OR,31518.0,16779.0,13535.0
Columbia,PA,30569.0,19752.0,10289.0
Columbia,WA,2397.0,1699.0,644.0
Columbia,WI,33869.0,16927.0,16410.0
Columbiana,OH,49169.0,35124.0,13183.0
Columbus,NC,26243.0,16696.0,9382.0
Colusa,CA,7672.0,4399.0,3114.0
Comal,TX,87942.0,62260.0,24369.0
Comanche,KS,904.0,745.0,126.0
Comanche,OK,35631.0,20905.0,13747.0
Comanche,TX,6084.0,5177.0,852.0
Concho,TX,1268.0,1058.0,197.0
Concordia,LA,8828.0,5550.0,3177.0
Conecuh,AL,6419.0,3435.0,2951.0
Conejos,CO,4291.0,2269.0,1936.0
Contra Costa,CA,567882.0,148623.0,407639.0
Converse,WY,6970.0,5917.0,861.0
